eventID	measurementType	measurementValue	measurementUnit	measurementAccuracy	measurementMethod
GANT20-01	Number of replicates	2			
GANT20-01	Surface sediments	1			
GANT20-01	sediment description	Dark brown fine mud			
GANT20-01	potential pollution	No HCl			
GANT20-02	Number of replicates	3			
GANT20-02	Surface sediments	1			
GANT20-02	sediment description	Dark brown fine mud			
GANT20-02	potential pollution	No HCl			
GANT20-03	Number of replicates	3			
GANT20-03	Surface sediments	1			
GANT20-03	sediment description	Fine mud green-yellow			
GANT20-03	potential pollution	No HCl			
GANT20-04	Number of replicates	3			
GANT20-04	Surface sediments	1			
GANT20-04	sediment description	Extremely fine mud, green-yellow, light sulphur smell			
GANT20-04	potential pollution	No HCl, surface sediments disturbed (VV was opened before) and touched by metallic tools from other researchers			
GANT20-05	Number of replicates	3			
GANT20-05	Surface sediments	0			
GANT20-05	sediment description	Rocky			
GANT20-06	Number of replicates	3			
GANT20-06	Surface sediments	1			
GANT20-06	sediment description	Brown-kaki, very fine (clay), small smell of S			
GANT20-06	potential pollution	No HCl			
GANT20-07	Number of replicates	3			
GANT20-07	Surface sediments	1			
GANT20-07	sediment description	Dark brown, very fine (clay), light smell of S			
GANT20-07	potential pollution	No HCl, surface sediments disturbed (VV was opened before) 			
GANT20-08	Number of replicates	3			
GANT20-08	Surface sediments	1			
GANT20-08	sediment description	Greenish, fine (clay)			
GANT20-08	potential pollution	No HCl			
GANT20-09	Number of replicates	3			
GANT20-09	Surface sediments	1			
GANT20-09	sediment description	Brown-greenish, clay			
GANT20-09	potential pollution	No HCl			
GANT20-10	Number of replicates	3			
GANT20-10	Surface sediments	1			
GANT20-10	sediment description	Brown-yellow, clay			
GANT20-10	potential pollution	No HCl			
GANT20-11	Number of replicates	2			
GANT20-11	Surface sediments	1 (not surface)			
GANT20-11	sediment description	Brown-greenish, clay			
GANT20-11	potential pollution	No HCl, sediments not from the surface			
GANT20-12	Number of replicates	1			
GANT20-12	Surface sediments	0			
GANT20-12	sediment description	Brown, fine sand and rocks			
GANT20-13	Number of replicates	1			
GANT20-13	Surface sediments	0			
GANT20-13	sediment description	Brown, sandy			
GANT20-14	Number of replicates	FAIL			
GANT20-15	Number of replicates	2			
GANT20-15	Surface sediments	5			
GANT20-15	sediment description	Brown-yellow, fine (clay)			
GANT20-15	potential pollution	No HCl, metal tools from other researchers			
GANT20-16	Number of replicates	FAIL			
GANT20-17	Number of replicates	3			
GANT20-17	Surface sediments	1			
GANT20-17	sediment description	Brown-yellow, fine (clay)			
GANT20-17	potential pollution	No HCl			
GANT20-18	Number of replicates	2			
GANT20-18	Surface sediments	1			
GANT20-18	sediment description	Brown, fine clay + gravels			
GANT20-18	potential pollution	No HCl			
GANT20-19	Number of replicates	2			
GANT20-19	Surface sediments	1			
GANT20-19	sediment description	Light brown-yellow, very fine (clay)			
GANT20-19	potential pollution	No HCl			
GANT20-20	Number of replicates	2			
GANT20-20	Surface sediments	1			
GANT20-20	sediment description	Light brown-yellow, very fine (clay) + volcanic gravels			
GANT20-20	potential pollution	No HCl			
GANT20-21	Number of replicates	2			
GANT20-21	Surface sediments	1			
GANT20-21	sediment description	Light brown, fine miwed with gravels			
GANT20-21	potential pollution	No HCl			
GANT20-22	Number of replicates	2			
GANT20-22	Surface sediments	1			
GANT20-22	sediment description	Light brown, fine mixed with gravels			
GANT20-22	potential pollution	No HCl			
GANT20-RD2	Number of replicates	1			
GANT20-RD2	Surface sediments	1			
GANT20-RD2	sediment description	Black, fine + volcanic gravels + rocks			
GANT20-RD2	potential pollution	No Hcl, sediments not from the surface			
GANT20-23	Number of replicates	2			
GANT20-23	Surface sediments	1			
GANT20-23	sediment description	Yellow-brown, fine (clay)			
GANT20-23	potential pollution	No HCl			
GANT20-24	Number of replicates	2			
GANT20-24	Surface sediments	1			
GANT20-24	sediment description	Yellow-brown, fine (clay) + volcanic gravels			
GANT20-24	potential pollution	No HCl			
GANT20-25	Number of replicates	FAIL			
GANT20-26	Number of replicates	3			
GANT20-26	Surface sediments	1			
GANT20-26	sediment description	Yellow-brown, fine (clay) + volcanic gravels			
GANT20-26	potential pollution	No HCl, other tools from scientists			
GANT20-27	Number of replicates	3			
GANT20-27	Surface sediments	1			
GANT20-27	sediment description	Yellow (fine) and black (volcanic gravels)			
GANT20-27	potential pollution	No HCl			
